LANG	SPK
Mandarin	955
Spanish	405
English	360
Hindi	310
Arabic	295
Portuguese	215
Bengali	205
Russian	155
Japanese	125
Punjabi	102
German	89
Javanese	82
Wu	80
Malay	77
Telugu	76
Vietnamese	76
Korean	76
French	74
Marathi	73
Tamil	70
Urdu	66
Persian	65
Turkish	63
Italian	59
Cantonese	59
Thai	56
Gujarati	49
Jin	48
Min Nan	47
Polish	40
Pashto	38
Kannada	38
Xiang	38
Malayam	38
Sudanese	28
Hausa	34
Oriya	33
Burmese	33
Hakka	31
Ukrainian	30
Bhojpuri	29
Tagalog	28
Yoruba	28
Maithili	27
Swahili	26
Uzbek	26
Sindhi	26
Amharic	25
Fula	24
Romanian	24
Oromo	24
Igbo	24
Azerbaijani	23
Awadhi	22
Gan	22
Cebuano	21
Dutch	21
Kurdish	21
Serbo-Croatian	19
Malagasy	18
Saraiki	17
Nepali	17
Sinhalese	16
Chittagonian	16
Zhuang	16
Khmer	16
Assamese	15
Madurese	15
Somali	15
Marwari	14
Magahi	14
Haryanvi	14
Hungarian	13
Chhattisgarhi	12
Greek	12
Chewa	12
Deccan	11
Akan	11
Kazakh	11
Min Bei	10.9
Sylheti	10.7
Zulu	10.4
Czech	10
